Package_ID,URL,Latest Version
AvalonEdit,/feed/workflow/package/nuget/AvalonEdit,5.0.2
BouncyCastle,/feed/workflow/package/nuget/BouncyCastle,1.8.1
ClosedXML,/feed/workflow/package/nuget/ClosedXML,0.87.1
CredentialManagement,/feed/workflow/package/nuget/CredentialManagement,1.0.2
CsvHelper,/feed/workflow/package/nuget/CsvHelper,2.13.5.0
DocumentFormat.OpenXml,/feed/workflow/package/nuget/DocumentFormat.OpenXml,2.5
DocX,/feed/workflow/package/nuget/DocX,1.0.0.19
EPPlus,/feed/workflow/package/nuget/EPPlus,4.0.5
Fluent.Ribbon,/feed/workflow/package/nuget/Fluent.Ribbon,3.6.1.236
FontAwesome.WPF,/feed/workflow/package/nuget/FontAwesome.WPF,4.7.0.9
MailKit,/feed/workflow/package/nuget/MailKit,1.2.7.0
Microsoft.Activities,/feed/workflow/package/nuget/Microsoft.Activities,1.0.1
Microsoft.Activities.Extensions,/feed/workflow/package/nuget/Microsoft.Activities.Extensions,2.0.6.9
Microsoft.Exchange.WebServices,/feed/workflow/package/nuget/Microsoft.Exchange.WebServices,2.2
MimeKit,/feed/workflow/package/nuget/MimeKit,1.2.7.0
Newtonsoft.Json,/feed/workflow/package/nuget/Newtonsoft.Json,8.0.3
Nito.AsyncEx,/feed/workflow/package/nuget/Nito.AsyncEx,4.0.1
NPOI,/feed/workflow/package/nuget/NPOI,2.2.1
RestSharp,/feed/workflow/package/nuget/RestSharp,105.0.1
SharpZipLib,/feed/workflow/package/nuget/SharpZipLib,0.86.0
SSH.NET,/feed/workflow/package/nuget/SSH.NET,2013.4.7
System.Net.FtpClient,/feed/workflow/package/nuget/System.Net.FtpClient,1.0.5281.14359
Twilio,/feed/workflow/package/nuget/Twilio,4.7.2
UiPath.Cognitive.Activities,/feed/workflow/package/nuget/UiPath.Cognitive.Activities,2.0.6716.19435
UiPath.Credentials.Activities,/feed/workflow/package/nuget/UiPath.Credentials.Activities,1.1.6479.13204
UiPath.Database.Activities,/feed/workflow/package/nuget/UiPath.Database.Activities,1.1.6660.26865
UiPath.Excel.Activities,/feed/workflow/package/nuget/UiPath.Excel.Activities,2.3.6682.26635
UiPath.FTP.Activities,/feed/workflow/package/nuget/UiPath.FTP.Activities,1.0.6479.13206
UiPath.IntelligentOCR.Activities,/feed/workflow/package/nuget/UiPath.IntelligentOCR.Activities,1.0.6725.18428
UiPath.Mail.Activities,/feed/workflow/package/nuget/UiPath.Mail.Activities,1.1.6562.21018
UiPath.PDF.Activities,/feed/workflow/package/nuget/UiPath.PDF.Activities,1.1.6732.21973
UiPath.Python.Activities,/feed/workflow/package/nuget/UiPath.Python.Activities,1.0.6716.23055
UiPath.Swashbuckle.Odata,/feed/workflow/package/nuget/UiPath.Swashbuckle.Odata,1.2.0
UiPath.Terminal.Activities,/feed/workflow/package/nuget/UiPath.Terminal.Activities,1.1.6464.20815
UiPath.WebAPI.Activities,/feed/workflow/package/nuget/UiPath.WebAPI.Activities,1.1.6479.13209
UiPath.Word.Activities,/feed/workflow/package/nuget/UiPath.Word.Activities,1.1.6479.13205
